Location,Signal Strength (dBm),Download Speed (Mbps),Upload Speed (Mbps),Latency (ms),Jitter (ms),Network Type,Device Model,Carrier,Band,Battery Level (%),Temperature (°C),Connected Duration (min),Handover Count,Data Usage (MB),Video Streaming Quality,VoNR Enabled,Network Congestion Level,Ping to Google (ms),Dropped Connection
San Francisco,-94.2,418.99,135.17,11.7,0.1,4G,Pixel 7,T-Mobile,n78,95,32.8,35,1,49.39,5,FALSE,Low,24.6,FALSE
Delhi,-104.1,246.71,47.64,17.2,0.8,4G,GT 7,Jio,n78,38,37.6,14,3,85.4,4,TRUE,Medium,67.8,TRUE
Mumbai,-92.7,427.82,22.39,5.6,0.1,5G NSA,Galaxy S23,Airtel,n78,29,35.2,46,2,484.45,5,FALSE,Low,95.8,TRUE
Delhi,-103.4,976.21,40.41,9.3,3.75,4G,Pixel 7,Jio,n28,33,37.4,5,3,452.44,4,TRUE,Medium,59.1,TRUE
Tokyo,-90.3,758.64,28.61,18,0.75,5G NSA,GT 7,T-Mobile,n78,43,40,47,2,210.65,2,TRUE,High,18.9,TRUE
Chennai,-88.6,956.15,77.02,15.9,3.25,5G SA,iPhone 14,Jio,n78,38,22.4,29,0,114.2,5,TRUE,High,36.9,TRUE
Berlin,-102.3,552.73,149.7,10.4,0.1,5G NSA,iPhone 14,T-Mobile,n41,84,28.8,44,3,309.66,3,TRUE,Low,63.3,TRUE
Tokyo,-88,273.55,97.75,7.5,0.74,5G SA,iPhone 14,Verizon,n41,27,27,12,1,211.49,2,FALSE,High,72.5,FALSE
Tokyo,-98.4,493.23,98.84,6.1,0.1,4G,iPhone 14,Verizon,n78,33,41.4,1,4,433.52,3,TRUE,Low,55,TRUE
Tokyo,-109.2,330.51,30.86,7.2,1.9,5G SA,Nord 4,Verizon,n78,70,44.4,10,3,223.26,4,FALSE,Medium,90.6,FALSE
San Francisco,-109.5,201.88,73.9,16.5,4.74,5G SA,Galaxy S23,T-Mobile,n41,70,22.2,55,2,88.87,4,FALSE,High,85.9,TRUE
Berlin,-69.6,633.43,40.29,10.6,0.28,4G,iPhone 14,AT&T,n78,68,31.8,30,1,291.48,5,FALSE,High,43.2,FALSE
Mumbai,-107,812.92,27.71,8.6,4.8,5G NSA,Galaxy S23,Airtel,n28,96,42.5,6,4,443.97,4,FALSE,High,53.3,TRUE
Delhi,-92.7,203.39,32.69,15.1,0.1,5G NSA,Nord 4,BSNL,n258,56,31.8,44,1,164.96,3,FALSE,Low,82.4,FALSE
Tokyo,-108.6,510.92,55.86,6.4,1.07,5G SA,Galaxy S23,T-Mobile,n41,46,36.7,23,0,354.8,1,FALSE,High,98.3,TRUE
Kolkata,-92.4,463.43,80.43,8.6,3.56,5G NSA,Nord 4,BSNL,n78,16,32.5,37,3,177.53,2,TRUE,Medium,57.6,FALSE
Tokyo,-68.9,919.2,25.12,16.1,0.1,5G SA,Nord 4,AT&T,n78,48,34.1,31,1,304.88,5,FALSE,Low,47.4,FALSE
Chennai,-99.7,253.23,112.89,12.5,4.29,5G NSA,Nord 4,Vi,n258,24,41.7,17,4,91.03,5,FALSE,High,10.1,FALSE
San Francisco,-103,913.69,136.23,4.5,1.06,4G,iPhone 14,AT&T,n41,16,40.3,35,0,319.63,4,FALSE,Medium,77.8,TRUE
San Francisco,-68.8,458.17,146.76,12.6,4.5,5G SA,GT 7,T-Mobile,n78,38,43.2,26,3,355.06,2,TRUE,Medium,42.7,TRUE
San Francisco,-75.1,447.35,116.97,18.7,4.49,5G NSA,GT 7,Verizon,n260,21,37.4,32,1,46.41,2,FALSE,Medium,83.8,TRUE
Delhi,-69.6,990.01,62.94,13.6,4.94,4G,Nord 4,BSNL,n78,17,32.6,24,4,390.24,5,FALSE,High,30.3,TRUE
San Francisco,-63.8,688.4,69.08,16.9,0.5,5G NSA,Galaxy S23,Verizon,n260,69,28.9,7,4,366.92,4,TRUE,Medium,89.2,TRUE
San Francisco,-96.8,177.6,73.71,8.3,0.1,5G SA,Pixel 7,T-Mobile,n260,60,30.5,46,3,58.5,2,TRUE,Low,78.9,TRUE
Kolkata,-74.8,180.89,29.62,5.1,2.55,5G SA,iPhone 14,Airtel,n28,82,27.1,32,4,106.23,5,FALSE,High,23.8,TRUE
Kolkata,-72.4,794.43,136.92,19.5,2.91,5G NSA,Galaxy S23,Vi,n28,19,26.5,56,2,300.35,1,FALSE,,56.1,TRUE
Tokyo,-91.8,183.04,81.87,16,2.61,5G SA,Nord 4,Verizon,n78,42,36.3,59,2,31.6,5,TRUE,Medium,91.4,FALSE
Delhi,-78.6,603.24,112.68,13.7,1.64,4G,Galaxy S23,Jio,n78,44,22.5,52,0,247.39,1,FALSE,,18,TRUE
Mumbai,-102.4,468.27,112.81,10.7,0.11,5G NSA,GT 7,BSNL,n28,75,23.9,1,4,367.12,3,FALSE,Low,35,TRUE
New York,-71.6,773.62,110.65,7.8,0.39,5G SA,iPhone 14,T-Mobile,n41,55,26.7,55,0,326.87,5,FALSE,,27.4,FALSE
San Francisco,-103.7,416.83,100.41,6.5,2.42,4G,Nord 4,AT&T,n260,49,24.3,43,1,476.2,2,FALSE,,99.2,TRUE
New York,-91.8,892.17,107.63,9.6,4.87,5G SA,GT 7,T-Mobile,n260,95,42.8,54,3,257.52,3,FALSE,,33.1,FALSE
New York,-85.4,635.02,23.54,8.7,3.19,5G NSA,iPhone 14,Verizon,n260,27,38.6,23,0,122.35,3,TRUE,Medium,41.8,FALSE
Kolkata,-98.1,163.45,98.97,4.2,1.2,4G,iPhone 14,Jio,n28,25,32.7,40,0,389.88,1,FALSE,,45.9,FALSE
Kolkata,-88.3,776.22,87.43,10.3,1.35,5G NSA,Nord 4,Airtel,n28,49,36.5,11,1,99.35,5,FALSE,,56.9,TRUE
Chennai,-92.3,125.01,118.7,11,0.11,4G,GT 7,BSNL,n28,62,40.6,11,0,488.08,2,FALSE,Low,67.9,TRUE
New York,-105.9,991.96,96.7,16.9,4.54,4G,Pixel 7,AT&T,n260,61,42.8,2,4,401.54,4,FALSE,Medium,80.9,TRUE
Delhi,-94.1,998.7,105.26,12.2,0.11,4G,Galaxy S23,Airtel,n28,20,31.1,27,4,268.42,3,TRUE,Low,37.8,TRUE
Kolkata,-85.4,744.58,46.88,7.5,0.11,5G SA,Nord 4,BSNL,n258,89,23.4,48,1,184.77,1,FALSE,Low,92.2,FALSE
Chennai,-74.5,581.75,73.37,12.7,2.81,4G,iPhone 14,Jio,n78,50,36.1,50,0,357.93,5,FALSE,Medium,24.5,TRUE
Mumbai,-106.3,734.34,58.61,7.3,1.04,5G SA,GT 7,Airtel,n258,57,24.8,13,4,413.37,2,TRUE,,16.3,FALSE
New York,-62.2,740.35,68.05,7,0.11,5G SA,Nord 4,AT&T,n260,42,37.7,31,3,222.15,4,FALSE,Low,81.5,FALSE
Mumbai,-97.4,377.97,24.26,13.7,2.92,4G,Nord 4,BSNL,n258,65,29.9,35,0,375.17,4,TRUE,Medium,96.6,FALSE
Chennai,-77.3,198.82,113.08,19.8,3.11,4G,Nord 4,Jio,n78,21,42.2,18,2,109.36,5,TRUE,Medium,81,FALSE
New York,-73.1,378.18,139.35,6.6,3.87,5G NSA,Galaxy S23,AT&T,n41,12,23.8,57,3,121.26,5,TRUE,,66.2,FALSE
Mumbai,-62.9,937.82,102.52,16.7,1.6,4G,GT 7,Jio,n28,83,21,18,3,119.59,1,FALSE,,46.7,TRUE
San Francisco,-106.8,329.43,140.78,2.2,4.76,5G SA,iPhone 14,AT&T,n41,41,35.5,53,2,457.22,1,TRUE,,11.1,FALSE
Berlin,-104.9,218.22,99.62,4.8,3.19,5G NSA,iPhone 14,AT&T,n78,32,30.2,36,2,251.23,2,FALSE,Medium,84.2,FALSE
Tokyo,-96,816.52,147.71,1.7,3.82,4G,Nord 4,Verizon,n260,46,31,18,2,494.34,2,FALSE,,90,FALSE
Tokyo,-73.1,533.07,23.87,19,1.51,5G NSA,Pixel 7,Verizon,n41,21,29.6,31,2,84.94,3,FALSE,,12.4,TRUE
New York,-94.4,811.53,67.41,15.9,0.11,4G,Galaxy S23,Verizon,n260,28,41,16,3,189.97,1,TRUE,Low,15.7,FALSE
Kolkata,-67.6,109.32,43.8,19.4,0.11,5G SA,Galaxy S23,Airtel,n78,88,20.3,15,1,244.13,3,TRUE,Low,80.5,TRUE
Berlin,-72.8,920.88,44.43,5.4,0.11,4G,iPhone 14,T-Mobile,n78,38,22.1,27,4,158.38,2,TRUE,Low,26.1,TRUE
Kolkata,-74.2,700.57,144.86,19.9,3.41,4G,Galaxy S23,Vi,n258,61,24.7,51,2,351.14,5,TRUE,Medium,58.3,TRUE
San Francisco,-98.1,568.75,138.66,16.8,4.84,5G SA,GT 7,T-Mobile,n78,90,27.4,7,0,463.36,5,FALSE,,12.9,FALSE
Mumbai,-69.7,541.4,87.39,3.5,1.38,5G NSA,Nord 4,Airtel,n28,22,31.6,49,3,118.28,3,FALSE,Medium,99.6,TRUE
Berlin,-102.9,258.92,27.54,17.2,3.86,4G,Galaxy S23,AT&T,n41,17,38.3,24,2,229.65,3,TRUE,High,68.4,TRUE
New York,-64,496.69,21.76,7,3.14,5G NSA,Nord 4,T-Mobile,n41,46,23,33,3,473.94,2,TRUE,Medium,15.9,FALSE
Delhi,-104,850.67,36.13,8.6,3.87,5G NSA,Nord 4,Jio,n78,69,33.9,43,4,347.75,4,FALSE,High,80.2,TRUE
Chennai,-70.3,992.96,24.78,8.3,2.88,5G SA,Nord 4,Vi,n258,59,33.1,3,1,119.7,5,TRUE,Medium,73.6,TRUE
San Francisco,-60.7,235.59,96.4,15.9,2.91,5G NSA,Pixel 7,T-Mobile,n260,60,23.6,55,1,94.78,5,TRUE,Medium,90.6,FALSE
New York,-66.6,355.04,56.49,2.7,0.11,5G SA,iPhone 14,T-Mobile,n78,33,38.1,3,3,376.77,1,FALSE,Low,14.2,TRUE
Chennai,-109.3,290.28,72.14,14.8,4.86,4G,GT 7,Vi,n78,10,34.4,14,3,294.39,4,FALSE,Medium,43.4,TRUE
Kolkata,-98.6,609.08,64.99,6.1,3.82,5G NSA,Nord 4,BSNL,n78,68,26.6,58,2,257.04,4,TRUE,High,67.3,FALSE
Berlin,-93.2,331.89,129.96,7.6,0.11,5G SA,Galaxy S23,AT&T,n41,61,36.4,27,1,359.35,1,FALSE,Low,38.3,TRUE
San Francisco,-63.7,724.69,95.51,6.7,4.68,5G NSA,Pixel 7,AT&T,n41,89,33.2,12,2,45.82,2,FALSE,High,39.6,TRUE
New York,-65.1,445.86,89.28,1.9,1.44,4G,GT 7,AT&T,n260,70,39.6,57,3,203.15,2,FALSE,High,13.7,TRUE
Delhi,-89.7,139.43,56.14,10.4,1.22,5G SA,Pixel 7,Vi,n258,12,39,56,0,143.08,1,FALSE,Medium,47.6,TRUE
Berlin,-82,698.78,148.38,7.8,0.11,4G,Nord 4,AT&T,n260,73,26,37,2,475.59,5,FALSE,Low,58.6,FALSE
Chennai,-104,589.03,49.86,7.8,0.11,5G SA,iPhone 14,Jio,n28,47,37.9,24,3,441.3,3,FALSE,Low,33.7,FALSE
Berlin,-62.4,416.27,61.43,6.8,2.9,5G SA,Pixel 7,T-Mobile,n260,74,29.5,45,2,43.96,5,TRUE,Medium,97.4,TRUE
New York,-99,337.71,46.88,15.7,1.52,5G NSA,Pixel 7,AT&T,n78,12,43.1,19,2,244.42,4,TRUE,Medium,51.7,FALSE
Kolkata,-82.1,930.05,93.72,11.7,3.16,5G SA,Pixel 7,Airtel,n258,47,44.9,10,2,413.64,5,FALSE,High,85.3,FALSE
San Francisco,-88.1,751.6,107.25,2.4,0.11,4G,Galaxy S23,T-Mobile,n260,21,44.6,26,4,52.94,3,TRUE,Low,53.5,FALSE
Berlin,-97.1,646.19,41.31,13.7,0.12,5G SA,Pixel 7,T-Mobile,n78,96,41.7,44,0,39.13,4,FALSE,Low,65.2,TRUE
Mumbai,-82.2,271.56,111.43,8,3.04,5G NSA,iPhone 14,Jio,n28,98,25.2,57,0,479.6,1,FALSE,Medium,65.3,TRUE
Berlin,-84.2,544.75,122.5,17,4,5G NSA,Pixel 7,T-Mobile,n78,69,29.5,12,0,356.7,1,TRUE,Medium,36,TRUE
Tokyo,-64.8,495.2,63.42,13.2,3.47,5G NSA,Galaxy S23,AT&T,n41,51,38.5,57,1,96.84,4,FALSE,High,93.5,FALSE
Delhi,-96.1,938.95,56.27,11.8,0.12,4G,Galaxy S23,Airtel,n258,11,27,27,2,280.47,2,FALSE,Low,29.9,TRUE
New York,-88.4,639,44.96,7.5,0.12,4G,iPhone 14,Verizon,n78,20,26.6,3,1,23.06,2,TRUE,Low,65.5,TRUE
Berlin,-107.5,743.21,115.23,10.7,0.55,5G SA,Nord 4,AT&T,n41,58,44,15,1,263.24,5,FALSE,Medium,88,TRUE
Chennai,-75.9,181.32,131.03,19.4,0.12,5G SA,Galaxy S23,Airtel,n258,82,24.6,51,3,391.74,2,TRUE,Low,77,TRUE
Kolkata,-74.7,310.6,128.4,15.5,0.86,4G,Nord 4,Airtel,n258,35,30.3,37,1,343.92,5,TRUE,High,13.5,TRUE
Mumbai,-70.4,509.72,61.3,13.7,0.12,5G NSA,iPhone 14,Airtel,n78,25,20.5,4,0,73.37,4,TRUE,Low,94.2,TRUE
San Francisco,-105.9,362.61,149.34,11.2,3.18,5G NSA,iPhone 14,AT&T,n78,98,39.1,4,0,28.49,1,TRUE,Medium,71.8,FALSE
New York,-85.5,476.05,58.42,5.8,4.15,5G NSA,iPhone 14,Verizon,n78,37,31.4,19,4,243.05,5,TRUE,Medium,94.6,TRUE
Delhi,-107.9,659.67,138.68,7.6,3.85,5G SA,iPhone 14,Jio,n258,72,26.6,18,1,258.03,1,FALSE,Medium,72.8,FALSE
Chennai,-107.7,646.36,112.8,17.5,0.12,5G NSA,Galaxy S23,Jio,n28,83,35.7,42,2,22.97,4,FALSE,Low,85.5,TRUE
Chennai,-71.7,266.83,148.74,1.8,2.43,5G SA,Nord 4,Airtel,n78,33,31.5,55,2,411,2,TRUE,High,51.6,TRUE
Berlin,-86.3,845.24,110.33,17.3,2.07,5G SA,GT 7,AT&T,n78,32,25.5,4,1,102.95,1,TRUE,Medium,17.4,TRUE
San Francisco,-87.4,168.32,97.35,3.1,0.73,5G NSA,Pixel 7,AT&T,n78,52,26.8,4,4,413.21,3,FALSE,High,69.5,FALSE
Tokyo,-62,727.18,22.87,2.4,0.54,4G,Nord 4,T-Mobile,n78,98,36.9,14,4,33.06,3,FALSE,High,10.2,FALSE
Chennai,-96.1,598.85,143.65,13.5,0.12,5G NSA,GT 7,Vi,n258,84,38.8,17,1,42.76,2,TRUE,Low,79.1,TRUE
Tokyo,-106.6,874.09,27.11,5.5,3.13,5G NSA,Pixel 7,AT&T,n41,92,31.2,26,2,210.75,4,FALSE,Medium,62.8,TRUE
Berlin,-70.4,368.56,64.33,16.7,1.88,5G SA,iPhone 14,AT&T,n41,60,31.3,15,1,232.33,2,FALSE,Medium,81.7,TRUE
Mumbai,-83.4,707.78,128.66,13.9,0.28,5G SA,Nord 4,Airtel,n28,56,40.4,8,0,109.89,3,TRUE,High,48.5,FALSE
Berlin,-80.5,482.73,26.94,10,0.12,5G SA,Galaxy S23,T-Mobile,n78,32,43.9,9,0,73.01,1,FALSE,Low,19.7,TRUE
New York,-106.7,438.16,28.79,5.3,3.39,5G NSA,GT 7,Verizon,n78,68,44.4,12,2,88.64,1,FALSE,High,47.7,FALSE
Delhi,-64.4,633.47,74.56,8.9,1.67,5G SA,GT 7,Jio,n28,43,39.5,48,2,337.04,3,FALSE,Medium,18.1,TRUE
Chennai,-93.4,570.85,20.4,14.7,0.12,5G NSA,Pixel 7,BSNL,n28,27,44.2,25,3,385.91,4,TRUE,Low,12.5,FALSE
Delhi,-88.3,934.08,69.35,8.5,1.05,5G NSA,iPhone 14,BSNL,n78,98,42.7,4,4,30.33,3,FALSE,Medium,66.9,TRUE
Tokyo,-87.6,365.13,27.45,3.3,0.12,5G SA,Galaxy S23,T-Mobile,n41,38,31.6,19,1,245.44,3,TRUE,Low,50.3,TRUE
San Francisco,-60.7,209.65,114.86,9.6,0.55,5G SA,iPhone 14,AT&T,n78,98,28.8,54,3,318.39,2,TRUE,Medium,70.6,FALSE
San Francisco,-90.6,826.16,119.18,11.6,0.13,5G NSA,Nord 4,AT&T,n41,17,40,28,2,461.49,2,TRUE,High,76.7,TRUE
Kolkata,-72.3,264.04,88.08,18.1,0.12,5G NSA,iPhone 14,Jio,n78,80,44.6,24,4,75.46,1,FALSE,Low,99.3,TRUE
San Francisco,-97.5,721.99,64.18,11.6,0.12,5G NSA,Galaxy S23,T-Mobile,n260,29,29.3,38,0,395.15,3,TRUE,Low,65.7,TRUE
Chennai,-70.8,293.41,106.51,1,3.64,4G,GT 7,BSNL,n258,98,44.7,16,4,404.05,1,FALSE,High,98.2,TRUE
Chennai,-84.9,612.34,143.97,10.9,1.45,5G NSA,iPhone 14,Vi,n28,80,32.7,40,1,140.63,3,TRUE,High,20.3,FALSE
Berlin,-64.1,168.83,110.4,19.8,0.12,5G SA,Galaxy S23,AT&T,n41,81,30.1,32,0,388.45,4,FALSE,Low,93.5,TRUE
Berlin,-102,425.68,136.76,15.6,2.61,5G NSA,Nord 4,AT&T,n78,12,25.1,12,3,243.58,4,TRUE,Medium,89.6,FALSE
Tokyo,-66.4,642.8,98.88,19.4,1.37,4G,Galaxy S23,T-Mobile,n41,65,27,41,1,215.18,5,TRUE,High,37.8,FALSE
Berlin,-81.9,182.82,103.31,11.5,0.13,5G SA,Pixel 7,T-Mobile,n41,77,39.6,38,2,69.93,5,FALSE,Low,38.2,FALSE
Berlin,-73.6,382.73,144.9,7.4,4.18,5G SA,GT 7,Verizon,n41,46,25.2,55,0,163.68,4,FALSE,Medium,29.2,TRUE
Berlin,-105.4,706.08,149.29,9.9,0.86,4G,GT 7,Verizon,n41,71,24.5,52,1,139.76,1,FALSE,Medium,89.1,TRUE
San Francisco,-64,509.6,36.96,18.9,1.23,5G NSA,iPhone 14,Verizon,n41,61,35.9,47,2,63.12,2,FALSE,High,42.6,TRUE
Mumbai,-100.3,502.75,45.72,19,2.36,4G,Nord 4,Airtel,n258,21,41.1,59,2,237.29,1,FALSE,Medium,10.1,FALSE
Berlin,-84.5,493.21,55.88,4.7,1.88,5G SA,Galaxy S23,AT&T,n260,21,35.9,8,0,279.08,4,FALSE,Medium,76,FALSE
Tokyo,-71.2,454.38,84.09,18,0.9,4G,Pixel 7,AT&T,n41,74,23.1,50,0,150.96,3,TRUE,Medium,21.8,FALSE
Mumbai,-66.6,621.67,39.39,5,2.96,4G,Nord 4,BSNL,n78,65,43.1,25,1,437.47,2,FALSE,Medium,52.2,FALSE
Delhi,-67.8,460.94,76.77,16.6,1.47,5G NSA,GT 7,Airtel,n78,77,38,27,1,442.96,2,FALSE,Medium,61.9,TRUE
Chennai,-108.4,842.98,143.56,7,4.43,5G SA,iPhone 14,Vi,n28,37,39.6,46,2,21.75,5,FALSE,Medium,48.5,TRUE
Mumbai,-86.2,645.38,87.74,15.4,4.42,5G SA,Galaxy S23,Jio,n258,99,43,57,3,424.17,4,FALSE,High,39.5,TRUE
Mumbai,-66.2,452.57,86.47,9.4,4.03,4G,GT 7,Vi,n258,70,36.1,42,3,195.16,4,TRUE,Medium,77.6,FALSE
Chennai,-72.9,850.74,33.21,4.9,2.83,5G NSA,iPhone 14,Jio,n28,83,32.8,45,0,373.74,5,FALSE,Medium,72.7,TRUE
Delhi,-63.9,367.15,129.79,10.4,0.73,5G NSA,Galaxy S23,BSNL,n78,91,44.8,22,4,349.05,2,FALSE,Medium,23.8,FALSE
Berlin,-63.6,607.43,75.52,11.6,3.92,5G NSA,Galaxy S23,Verizon,n260,36,33.9,30,4,52.07,2,TRUE,Medium,62.5,FALSE
Mumbai,-65.1,212.93,115.27,10.6,0.13,4G,Pixel 7,Airtel,n78,65,24.7,17,4,324.15,2,TRUE,Low,41.9,TRUE
Berlin,-78.5,169.47,71.93,8.3,0.37,4G,Galaxy S23,AT&T,n78,90,28.7,13,4,275.87,1,FALSE,High,98.7,FALSE
New York,-94.5,736.88,43.5,4.7,0.23,4G,iPhone 14,T-Mobile,n78,37,44,1,3,314.69,5,FALSE,Medium,34.3,FALSE
New York,-97.2,691.89,145.31,8.6,4.43,4G,Pixel 7,Verizon,n78,43,32.1,32,1,146.25,3,TRUE,Medium,44.9,TRUE
Berlin,-101.6,188.47,29.27,5,0.13,4G,iPhone 14,Verizon,n41,61,33.7,3,3,156.23,5,FALSE,Low,81.1,TRUE
Berlin,-73.8,381,66.88,15.5,0.13,5G SA,GT 7,AT&T,n260,36,33,16,2,486.89,2,FALSE,Low,80.5,TRUE
Delhi,-77.4,803.66,76.83,16.2,3.68,4G,iPhone 14,Jio,n28,68,26.4,34,1,254.65,4,TRUE,Medium,36.1,FALSE
Berlin,-96.4,676.68,89.76,2.5,3.91,5G NSA,GT 7,Verizon,n41,43,43.8,20,3,454,3,TRUE,High,62.3,FALSE
Tokyo,-107.9,757.05,122.24,15.9,3.21,5G SA,Nord 4,Verizon,n78,10,30.9,18,1,258.72,4,FALSE,Medium,55.2,FALSE
Kolkata,-74,904.35,104.06,16,0.13,4G,Nord 4,Vi,n258,14,29.8,28,3,497.5,2,TRUE,Low,41.2,FALSE
New York,-97.3,967.79,99.33,18.8,0.26,5G NSA,Nord 4,T-Mobile,n260,41,20.4,44,0,338.97,1,FALSE,Medium,18.2,FALSE
New York,-98.8,625.77,40.94,17.4,3.56,5G NSA,GT 7,AT&T,n78,95,20.8,11,4,46.7,2,TRUE,Medium,38.5,FALSE
Mumbai,-63.5,882.57,78.29,7.6,3.53,5G NSA,GT 7,Airtel,n28,16,42.9,39,2,111.85,1,FALSE,Medium,87.2,FALSE
Chennai,-75.5,944.14,66.83,2.5,0.13,4G,Nord 4,Vi,n258,68,25.4,45,2,439.67,5,TRUE,Low,23.7,TRUE
Tokyo,-83.2,174.19,39.68,19.2,4.06,5G SA,GT 7,AT&T,n41,35,37.9,58,3,19.84,5,TRUE,Medium,56.4,FALSE
Berlin,-87.6,922.96,82.59,19.5,1.57,4G,Nord 4,Verizon,n78,20,32.3,17,2,463.84,2,TRUE,Medium,58.8,FALSE
Delhi,-89.1,910.02,128.52,14.5,4.1,5G NSA,Nord 4,Airtel,n78,71,23.5,39,2,174.87,3,FALSE,Medium,44.9,TRUE
Berlin,-85.1,319.86,75.01,16.8,1.81,5G NSA,Nord 4,AT&T,n260,90,44.6,50,0,74.98,5,TRUE,Medium,26,TRUE
Kolkata,-108.6,841.1,124.58,12.6,4.32,5G NSA,iPhone 14,Jio,n78,74,33.7,16,1,296.8,4,FALSE,High,87.4,FALSE
New York,-92,198.22,89.19,9.5,4.33,5G SA,Pixel 7,Verizon,n260,41,24.9,3,0,201.43,4,FALSE,High,64.2,TRUE
Kolkata,-94.2,147.37,67.79,17.7,0.13,5G NSA,Pixel 7,BSNL,n78,54,25.5,2,2,172.63,3,FALSE,Low,12.6,TRUE
San Francisco,-64.1,631.6,30.57,17.9,2.64,5G SA,Pixel 7,AT&T,n260,26,27.5,43,3,87.78,4,FALSE,Medium,79.8,TRUE
Mumbai,-60.7,582.38,143.69,12.4,0.11,5G NSA,Nord 4,Airtel,n78,17,30.4,48,1,320.54,4,FALSE,Medium,28.7,FALSE
Tokyo,-104,386.33,67.29,12.3,0.87,5G NSA,Nord 4,Verizon,n260,50,43.5,49,1,443.77,3,FALSE,Medium,47.9,FALSE
San Francisco,-87.9,808.2,81.97,17.4,0.5,5G SA,GT 7,Verizon,n260,73,37.3,38,3,69.96,3,FALSE,High,30.5,FALSE
New York,-81.7,619.19,140.5,2.6,0.13,4G,Galaxy S23,Verizon,n41,18,38.5,3,3,269.59,1,TRUE,Low,32.2,TRUE
Kolkata,-73.3,517.01,75.7,2.5,0.13,5G NSA,GT 7,Airtel,n258,70,23.2,4,0,402.79,2,FALSE,Low,94.8,TRUE
Tokyo,-106.2,299.79,114.68,8.1,0.13,4G,Pixel 7,T-Mobile,n260,50,40.9,26,1,89.44,2,FALSE,Low,63.2,TRUE
Tokyo,-73.2,699.73,94.91,2.1,0.13,4G,iPhone 14,T-Mobile,n41,20,39.5,38,4,12.51,4,TRUE,Low,67,FALSE
San Francisco,-68,854.63,117.28,9.8,0.14,5G NSA,GT 7,AT&T,n41,39,42.1,23,4,121.51,4,FALSE,Low,73.6,FALSE
Kolkata,-72.4,423.92,71.01,15.1,0.22,5G NSA,iPhone 14,Jio,n258,25,38.8,23,4,148.66,2,TRUE,Medium,36.3,FALSE
Tokyo,-109.1,888.37,21.39,18.5,0.98,5G NSA,Galaxy S23,T-Mobile,n260,81,36.5,47,1,356.4,5,FALSE,Medium,94.1,FALSE
Chennai,-105.5,234.17,144.42,17.3,0.24,5G SA,Pixel 7,Airtel,n78,40,28.2,52,4,78.08,5,FALSE,High,54.8,TRUE
Mumbai,-104.5,156.68,92.04,10.1,0.77,5G NSA,Pixel 7,Jio,n28,81,34.5,2,3,334.42,4,FALSE,Medium,64.5,FALSE
Delhi,-76.2,322.06,60.19,10,0.8,4G,Galaxy S23,Vi,n28,14,35.5,30,4,315.33,5,TRUE,High,66,FALSE
New York,-63,854.2,45.72,4.5,0.15,5G SA,GT 7,Verizon,n260,30,35.5,23,3,344.26,3,FALSE,Medium,20.2,TRUE
